2009-2010 Award Year FFEL Volume by School,,,,,,,,,,,,,,,,,,,,,,,,
Award Year Quarterly Activity  (04/01/2010-06/30/2010),,,,,,,,,,,,,,,,,,,,,,,,
Data Run: 4/5/2012,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, FFEL SUBSIDIZED ,,,,, FFEL UNSUBSIDIZED ,,,,, FFEL PARENT PLUS ,,,,,FFEL GRAD PLUS,,,,
00130500,STANFORD UNIVERSITY,CA,943051926,PRIVATE, 49 , 49 ," $282,053.00 ",194," $586,036.00 ", 117 , 122 ," $685,938.00 ",203," $1,123,443.00 ", 14 , 14 ," $203,353.00 ",16," $217,340.00 ", 50 , 53 ," $401,882.00 ",66," $448,956.00 "
00130700,FRESNO CITY COLLEGE,CA,937410002,PUBLIC, 1 , 1 ," $2,250.00 ",1," $2,250.00 ", 1 , 1 ," $2,555.00 ",1," $2,556.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00131400,"UNIVERSITY OF CALIFORNIA, IRVINE",CA,926970001,PUBLIC, -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , 2 , 2 ," $13,500.00 ",2," $13,500.00 ", -   , -   , $-   ,0, $-   
00131500,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",CA,900959000,PUBLIC, 366 , 380 ," $1,610,132.00 ",555," $1,749,951.00 ", 420 , 452 ," $1,989,562.00 ",644," $2,085,185.00 ", 36 , 36 ," $225,937.00 ",62," $250,172.00 ", 172 , 188 ," $1,034,272.00 ",233," $1,096,123.00 "
00131700,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,920930013,PUBLIC, 896 , 933 ," $1,585,849.00 ","1,599"," $1,903,155.00 ", 789 , 851 ," $2,388,651.00 ","1,382"," $2,580,243.00 ", 39 , 41 ," $199,684.00 ",64," $200,416.00 ", 63 , 67 ," $351,651.00 ",82," $357,875.00 "
00131900,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,941430246,PUBLIC, 10 , 10 ," $57,270.00 ",79," $215,206.00 ", 36 , 40 ," $130,467.00 ",101," $399,677.00 ", -   , -   , $-   ,0, $-   , 6 , 6 ," $42,578.00 ",21," $92,488.00 "
00132200,UNIVERSITY OF REDLANDS,CA,923730999,PRIVATE, 249 , 263 ," $917,542.00 ",982," $2,617,715.00 ", 276 , 294 ," $1,463,433.00 ","1,054"," $4,115,939.00 ", 6 , 7 ," $16,145.00 ",8," $23,145.00 ", 14 , 15 ," $83,280.00 ",65," $240,913.00 "
00132600,SANTA CLARA UNIVERSITY,CA,950534956,PRIVATE, 2 , 2 ," $2,500.00 ",4," $11,000.00 ", 2 , 2 ," $12,500.00 ",3," $18,500.00 ", 25 , 28 ," $243,134.00 ",57," $467,092.00 ", 206 , 230 ," $2,148,725.00 ",269," $2,426,759.00 "
00132800,UNIVERSITY OF SOUTHERN CALIFORNIA,CA,900890001,PRIVATE, 305 , 316 ," $1,660,679.00 ",918," $3,352,472.00 ", 448 , 488 ," $3,041,413.00 ","1,097"," $7,901,757.00 ", 51 , 53 ," $682,159.00 ",56," $689,524.00 ", 655 , 726 ," $5,973,365.00 ","1,276"," $11,141,152.00 "
00132900,UNIVERSITY OF THE PACIFIC,CA,952110197,PRIVATE, 11 , 11 ," $93,500.00 ",378," $1,081,628.00 ", 12 , 12 ," $263,699.00 ",363," $3,682,805.00 ", -   , -   , $-   ,0, $-   , 87 , 90 ," $875,162.00 ",447," $4,470,012.00 "
00133400,VENTURA COLLEGE,CA,930033899,PUBLIC, 55 , 55 ," $180,824.00 ",62," $185,574.00 ", 32 , 35 ," $113,585.00 ",41," $120,626.00 ", 1 , 1 ," $4,600.00 ",1," $4,600.00 ", -   , -   , $-   ,0, $-   
00133500,VICTOR VALLEY COMMUNITY COLLEGE,CA,923955850,PUBLIC, 492 , 500 ," $1,680,609.00 ","1,457"," $2,935,455.00 ", 415 , 427 ," $1,735,120.00 ","1,221"," $3,084,686.00 ", 1 , 1 ," $4,000.00 ",4," $7,250.00 ", -   , -   , $-   ,0, $-   
00133800,WEST VALLEY COLLEGE,CA,950705697,PUBLIC, 39 , 39 ," $134,750.00 ",207," $334,075.00 ", 17 , 17 ," $48,381.00 ",53," $79,819.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00134100,WESTMONT COLLEGE,CA,931081099,PRIVATE, 5 , 5 ," $10,864.00 ",5," $10,864.00 ", 9 , 9 ," $32,540.00 ",9," $32,540.00 ", 5 , 5 ," $33,344.00 ",5," $33,344.00 ", -   , -   , $-   ,0, $-   
00134200,WHITTIER COLLEGE,CA,906014413,PRIVATE, 31 , 31 ," $127,242.00 ",57," $175,287.00 ", 51 , 53 ," $259,729.00 ",74," $299,175.00 ", 11 , 11 ," $89,219.00 ",11," $89,219.00 ", 161 , 167 ," $1,519,548.00 ",175," $1,494,763.00 "
00134300,WOODBURY UNIVERSITY,CA,915041052,PRIVATE, 200 , 201 ," $772,705.00 ",369," $816,882.00 ", 181 , 192 ," $718,861.00 ",348," $845,433.00 ", 21 , 22 ," $151,300.00 ",39," $158,800.00 ", -   , -   , $-   ,10," $61,880.00 "
00274100,AMERICAN JEWISH UNIVERSITY,CA,900771599,PRIVATE, 1 , 1 ," $2,250.00 ",11," $29,872.00 ", 1 , 1 ," $3,000.00 ",7," $26,000.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,3," $28,403.00 "
00394700,"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",CA,941024978,PUBLIC, 2 , 2 ," $12,760.00 ",2," $12,760.00 ", 5 , 5 ," $24,900.00 ",5," $24,900.00 ", -   , -   , $-   ,0, $-   , 90 , 97 ," $529,476.00 ",104," $520,064.00 "
00394800,SAN FRANCISCO ART INSTITUTE,CA,941332299,PRIVATE, 4 , 4 ," $6,500.00 ",4," $6,500.00 ", 5 , 5 ," $14,000.00 ",5," $14,000.00 ", -   , -   , $-   ,1," $12,500.00 ", 2 , 2 ," $5,500.00 ",2," $5,500.00 "
00408000,STARR KING SCHOOL FOR THE MINISTRY,CA,947091299,PRIVATE, -   , -   , $-   ,0, $-   , 4 , 4 ," $24,032.00 ",5," $24,032.00 ", -   , -   , $-   ,0, $-   , 1 , 1 ," $7,883.00 ",1," $4,741.00 "
00448000,DE ANZA COMMUNITY COLLEGE,CA,950145793,PUBLIC, 148 , 148 ," $472,692.00 ",266," $492,787.00 ", 81 , 81 ," $278,662.00 ",141," $304,045.00 ", 1 , 1 ," $2,482.00 ",1," $2,482.00 ", -   , -   , $-   ,0, $-   
00448100,OHLONE COLLEGE,CA,945395884,PUBLIC, 29 , 29 ," $91,363.00 ",221," $259,898.00 ", 27 , 29 ," $71,896.00 ",195," $263,514.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00448400,JOHN F. KENNEDY UNIVERSITY,CA,945234817,PRIVATE, 120 , 121 ," $638,397.00 ",648," $1,749,553.00 ", 134 , 135 ," $970,558.00 ",678," $2,643,714.00 ", 1 , 1 ," $10,804.00 ",2," $10,804.00 ", 37 , 39 ," $432,191.00 ",210," $1,055,292.00 "
00449000,PATTEN UNIVERSITY,CA,946012699,PRIVATE, 13 , 13 ," $41,781.00 ",28," $74,472.00 ", 13 , 13 ," $61,518.00 ",29," $94,943.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00449400,EVEREST COLLEGE,CA,924083752,PROPRIETARY, 139 , 140 ," $420,166.00 ",597," $928,911.00 ", 125 , 214 ," $556,238.00 ",950," $1,246,867.00 ", 8 , 8 ," $54,162.00 ",36," $117,090.00 ", -   , -   , $-   ,0, $-   
00450200,CITY COLLEGE OF SAN FRANCISCO,CA,941121821,PUBLIC, 247 , 249 ," $736,318.00 ",288," $741,002.00 ", 192 , 198 ," $537,225.00 ",232," $539,028.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00616500,LOS ANGELES COUNTY COLLEGE OF NURSING AND ALLIED HEALTH,CA,900331018,PUBLIC, 3 , 3 ," $5,750.00 ",3," $5,750.00 ", 7 , 8 ," $20,000.00 ",8," $20,000.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00672000,COLLEGE OF ALAMEDA,CA,945012109,PUBLIC, 8 , 8 ," $24,750.00 ",23," $44,819.00 ", 4 , 4 ," $8,000.00 ",8," $14,250.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00673100,CASA LOMA COLLEGE,CA,914054523,PRIVATE, 57 , 59 ," $165,813.00 ",143," $226,293.00 ", 49 , 51 ," $170,730.00 ",122," $218,692.00 ", 6 , 7 ," $21,597.00 ",17," $33,026.00 ", -   , -   , $-   ,0, $-   
00697300,CANADA COLLEGE,CA,940611099,PUBLIC, 11 , 11 ," $32,250.00 ",12," $32,250.00 ", 10 , 10 ," $23,250.00 ",10," $23,250.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00697500,LINCOLN UNIVERSITY,CA,946122801,PRIVATE, 31 , 31 ," $95,820.00 ",32," $95,820.00 ", 30 , 30 ," $90,830.00 ",30," $90,830.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00701200,SAMUEL MERRITT UNIVERSITY,CA,946093108,PRIVATE, 243 , 243 ," $1,148,950.00 ",521," $2,101,611.00 ", 226 , 229 ," $1,426,267.00 ",494," $2,675,224.00 ", 1 , 1 ," $8,800.00 ",4," $68,800.00 ", 144 , 159 ," $1,597,676.00 ",311," $3,214,399.00 "
00705000,BELLUS ACADEMY,CA,919503616,PROPRIETARY, 30 , 34 ," $104,870.00 ",74," $130,030.00 ", 29 , 35 ," $148,626.00 ",66," $170,108.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00711500,MOORPARK COLLEGE,CA,930211695,PUBLIC, 70 , 70 ," $251,086.00 ",70," $249,338.00 ", 31 , 44 ," $109,884.00 ",44," $107,564.00 ", 2 , 2 ," $6,080.00 ",2," $6,080.00 ", -   , -   , $-   ,0, $-   
00716400,BRYAN COLLEGE,CA,900102501,PROPRIETARY, 178 , 178 ," $690,925.00 ",971," $1,274,891.00 ", 182 , 182 ," $1,105,359.00 ","1,000"," $2,090,597.00 ", 8 , 8 ," $57,205.00 ",37," $97,308.00 ", -   , -   , $-   ,0, $-   
00718700,NORTH ADRIAN'S BEAUTY COLLEGE,CA,953502381,PROPRIETARY, 78 , 78 ," $247,628.00 ",197," $346,013.00 ", 65 , 65 ," $369,290.00 ",180," $537,290.00 ", 4 , 4 ," $53,100.00 ",11," $68,550.00 ", -   , -   , $-   ,0, $-   
00719000,WYOTECH,CA,945397663,PROPRIETARY, 378 , 378 ," $1,298,928.00 ","1,098"," $1,945,347.00 ", 401 , 420 ," $1,757,642.00 ","1,193"," $2,720,785.00 ", 45 , 49 ," $326,144.00 ",143," $519,904.00 ", -   , -   , $-   ,0, $-   
00723400,HEALD COLLEGE,CA,941033032,PROPRIETARY," 1,517 "," 1,580 "," $5,101,186.00 ","6,918"," $8,396,882.00 "," 1,458 "," 2,472 "," $6,562,070.00 ","11,259"," $10,978,773.00 ", 129 , 130 ," $678,795.00 ",533," $1,099,424.00 ", -   , -   , $-   ,0, $-   
00723600,ART INSTITUTE OF CALIFORNIA - LOS ANGELES (THE),CA,904053035,PROPRIETARY, 117 , 121 ," $321,797.00 ",725," $1,127,907.00 ", 119 , 122 ," $464,931.00 ",801," $1,431,699.00 ", 26 , 26 ," $439,512.00 ",206," $1,387,559.00 ", 1 , 1 ," $15,624.00 ",2," $18,455.00 "
00729600,COLEMAN UNIVERSITY,CA,921231506,PRIVATE, 103 , 108 ," $338,847.00 ",438," $572,947.00 ", 92 , 94 ," $420,010.00 ",355," $642,596.00 ", 4 , 5 ," $38,025.00 ",20," $52,493.00 ", -   , -   , $-   ,0, $-   
00747700,HEALD COLLEGE,CA,956706005,PROPRIETARY, 433 , 464 ," $1,476,547.00 ","1,929"," $2,437,802.00 ", 463 , 849 ," $2,074,528.00 ","3,497"," $3,405,104.00 ", 6 , 7 ," $29,953.00 ",27," $51,103.00 ", -   , -   , $-   ,0, $-   
00753600,COSUMNES RIVER COLLEGE,CA,958235799,PUBLIC, 107 , 108 ," $366,824.00 ",110," $370,076.00 ", 88 , 89 ," $236,116.00 ",91," $239,020.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00760600,EVEREST COLLEGE,CA,900102221,PROPRIETARY, 84 , 85 ," $266,306.00 ",267," $443,387.00 ", 84 , 145 ," $404,996.00 ",473," $682,425.00 ", 6 , 6 ," $27,921.00 ",26," $70,041.00 ", -   , -   , $-   ,0, $-   
00760700,CONCORDE CAREER COLLEGE,CA,916063134,PROPRIETARY, 9 , 9 ," $34,500.00 ",136," $197,126.00 ", 10 , 10 ," $44,049.00 ",136," $258,013.00 ", 3 , 3 ," $18,275.00 ",25," $91,390.00 ", -   , -   , $-   ,0, $-   
00771300,SKYLINE COLLEGE,CA,940661698,PUBLIC, 16 , 16 ," $62,209.00 ",17," $63,959.00 ", 6 , 7 ," $20,797.00 ",7," $20,798.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00793000,CONCORDE CAREER COLLEGE,CA,921131962,PROPRIETARY, 8 , 8 ," $28,963.00 ",30," $62,535.00 ", 16 , 17 ," $82,041.00 ",37," $123,111.00 ", 5 , 5 ," $51,060.00 ",10," $39,864.00 ", -   , -   , $-   ,0, $-   
00807100,CONCORDE CAREER COLLEGE,CA,928409201,PROPRIETARY, 81 , 81 ," $254,474.00 ",326," $511,364.00 ", 84 , 87 ," $330,569.00 ",341," $657,297.00 ", 12 , 12 ," $68,086.00 ",63," $185,039.00 ", -   , -   , $-   ,0, $-   
00807300,BUTTE COLLEGE,CA,959658399,PUBLIC, 326 , 328 ," $1,011,768.00 ",388," $1,015,648.00 ", 198 , 198 ," $490,043.00 ",239," $488,019.00 ", 2 , 2 ," $7,680.00 ",3," $7,680.00 ", -   , -   , $-   ,0, $-   
00809000,EVEREST COLLEGE,CA,918031310,PROPRIETARY, 211 , 215 ," $546,207.00 ",706," $1,045,533.00 ", 187 , 254 ," $774,230.00 ","1,054"," $1,604,703.00 ", 20 , 20 ," $70,725.00 ",59," $144,980.00 ", -   , -   , $-   ,0, $-   
00809300,HEALD COLLEGE,CA,937041706,PROPRIETARY, 495 , 502 ," $1,575,895.00 ","2,454"," $2,924,210.00 ", 486 , 846 ," $1,976,834.00 ","4,092"," $3,595,358.00 ", 9 , 9 ," $42,599.00 ",50," $93,148.00 ", -   , -   , $-   ,0, $-   
00853200,HEALD COLLEGE,CA,945452352,PROPRIETARY, 851 , 868 ," $2,798,403.00 ","3,300"," $4,087,059.00 ", 863 ," 1,517 "," $3,538,937.00 ","5,807"," $5,183,964.00 ", 23 , 23 ," $139,693.00 ",135," $283,970.00 ", -   , -   , $-   ,0, $-   
00853700,CONCORDE CAREER COLLEGE,CA,924083403,PROPRIETARY, 31 , 31 ," $106,734.00 ",255," $395,472.00 ", 37 , 37 ," $125,182.00 ",255," $487,604.00 ", 7 , 7 ," $51,840.00 ",44," $140,273.00 ", -   , -   , $-   ,0, $-   
00859600,WEST LOS ANGELES COLLEGE,CA,902303500,PUBLIC, 137 , 139 ," $475,617.00 ",202," $549,642.00 ", 72 , 73 ," $243,511.00 ",102," $274,066.00 ", 1 , 1 ," $9,000.00 ",1," $9,000.00 ", -   , -   , $-   ,0, $-   
00884600,WRIGHT INSTITUTE (THE),CA,947041796,PRIVATE, 4 , 4 ," $22,298.00 ",43," $131,160.00 ", 4 , 4 ," $53,765.00 ",48," $242,021.00 ", -   , -   , $-   ,0, $-   , 8 , 8 ," $70,911.00 ",21," $145,037.00 "
00890300,COLLEGE OF THE CANYONS,CA,913551899,PUBLIC, 65 , 65 ," $156,312.00 ",89," $176,607.00 ", 53 , 53 ," $156,257.00 ",79," $185,679.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00891800,SADDLEBACK COLLEGE,CA,926923699,PUBLIC, 46 , 46 ," $109,026.00 ",52," $115,682.00 ", 30 , 30 ," $113,091.00 ",35," $113,973.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00902200,ASSOCIATED TECHNICAL COLLEGE,CA,900171690,PROPRIETARY, 140 , 140 ," $488,250.00 ",310," $549,375.00 ", 55 , 55 ," $203,223.00 ",119," $220,906.00 ", 15 , 15 ," $55,550.00 ",34," $61,025.00 ", -   , -   , $-   ,0, $-   
00903200,EMPIRE COLLEGE,CA,954032122,PROPRIETARY, 103 , 103 ," $284,684.00 ",438," $552,374.00 ", 104 , 105 ," $426,891.00 ",441," $812,316.00 ", 1 , 1 ," $5,500.00 ",16," $29,142.00 ", -   , -   , $-   ,0, $-   
00927200,CRAFTON HILLS COLLEGE,CA,923991799,PUBLIC, -   , -   , $-   ,5," $4,000.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00950900,SACRAMENTO CITY UNIFIED SCHOOL DISTRICT,CA,958241529,PUBLIC, 3 , 3 ," $11,803.00 ",15," $31,676.00 ", 4 , 4 ," $25,697.00 ",18," $58,823.00 ", -   , -   , $-   ,1," $2,500.00 ", -   , -   , $-   ,0, $-   
00974800,CARRINGTON COLLEGE CALIFORNIA,CA,958263203,PROPRIETARY," 2,246 "," 2,561 "," $4,542,042.00 ","7,305"," $6,331,181.00 "," 2,184 "," 2,570 "," $5,885,998.00 ","7,301"," $8,246,753.00 ", 149 , 176 ," $796,450.00 ",500," $1,209,166.00 ", -   , -   , $-   ,0, $-   
00998900,SANTA BARBARA BUSINESS COLLEGE,CA,930038053,PROPRIETARY, 30 , 31 ," $96,805.00 ",91," $137,493.00 ", 24 , 27 ," $66,349.00 ",77," $110,352.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
01014900,PEPPERDINE UNIVERSITY,CA,902634301,PRIVATE, 321 , 334 ," $1,576,081.00 ","1,953"," $5,971,387.00 ", 341 , 361 ," $2,146,619.00 ","1,974"," $8,807,235.00 ", 84 , 123 ," $622,301.00 ",139," $624,461.00 ", 213 , 237 ," $2,360,625.00 ",948," $7,032,691.00 "
01034000,LOS MEDANOS COLLEGE,CA,945655197,PUBLIC, 8 , 8 ," $18,973.00 ",8," $18,973.00 ", 1 , 3 ," $5,100.00 ",4," $5,100.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
01036500,CHARLES DREW UNIVERSITY OF MEDICINE AND SCIENCE,CA,900593025,PRIVATE, 12 , 12 ," $51,166.00 ",195," $330,018.00 ", 11 , 11 ," $55,750.00 ",189," $455,976.00 ", -   , -   , $-   ,0, $-   , 1 , 1 ," $10,000.00 ",6," $34,998.00 "
01036800,MENNONITE BRETHREN BIBLICAL SEMINARY,CA,937275097,PRIVATE, 1 , 1 ," $3,850.00 ",1," $3,850.00 ", 2 , 2 ," $10,000.00 ",3," $10,733.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
01039500,UNIVERSITY OF SAN DIEGO,CA,921102492,PRIVATE, 129 , 136 ," $615,933.00 ",294," $998,991.00 ", 177 , 192 ," $816,728.00 ",348," $1,302,053.00 ", 39 , 40 ," $490,647.00 ",47," $503,516.00 ", 303 , 321 ," $2,855,595.00 ",425," $3,420,970.00 "
01044100,PARDEE RAND GRADUATE SCHOOL,CA,904072138,PRIVATE, 2 , 2 ," $17,000.00 ",2," $17,000.00 ", 2 , 2 ," $32,000.00 ",2," $32,000.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
01047400,MARYMOUNT COLLEGE,CA,902746299,PRIVATE, 2 , 2 ," $5,223.00 ",4," $5,223.00 ", 5 , 6 ," $18,277.00 ",11," $18,277.00 ", 1 , 1 ," $8,000.00 ",1," $8,000.00 ", -   , -   , $-   ,0, $-   
01083200,WESTERN STATE UNIVERSITY COLLEGE OF LAW,CA,928313014,PROPRIETARY, 2 , 2 ," $17,000.00 ",2," $17,000.00 ", 2 , 2 ," $14,771.00 ",2," $14,771.00 ", -   , -   , $-   ,0, $-   , 16 , 16 ," $76,091.00 ",20," $76,091.00 "
01085400,THOMAS JEFFERSON SCHOOL OF LAW,CA,921012928,PRIVATE, 15 , 16 ," $72,459.00 ",16," $70,454.00 ", 38 , 42 ," $206,804.00 ",43," $203,630.00 ", -   , -   , $-   ,0, $-   , 432 , 521 ," $4,505,326.00 ",536," $4,513,418.00 "
01102400,EVEREST COLLEGE,CA,941032091,PROPRIETARY, 316 , 317 ," $1,010,542.00 ","1,087"," $1,845,923.00 ", 296 , 377 ," $1,554,215.00 ","1,687"," $2,988,508.00 ", 8 , 8 ," $51,960.00 ",46," $176,889.00 ", -   , -   , $-   ,0, $-   
01110700,EVEREST COLLEGE,CA,928015231,PROPRIETARY, 63 , 64 ," $189,937.00 ",450," $735,767.00 ", 54 , 56 ," $267,817.00 ",519," $1,123,678.00 ", 6 , 6 ," $33,544.00 ",50," $160,281.00 ", -   , -   , $-   ,0, $-   
01110900,EVEREST COLLEGE,CA,913354631,PROPRIETARY, 222 , 222 ," $658,277.00 ",862," $1,449,487.00 ", 222 , 225 ," $1,018,590.00 ",866," $2,298,833.00 ", 22 , 22 ," $168,550.00 ",77," $315,072.00 ", -   , -   , $-   ,0, $-   
01111200,FASHION INSTITUTE OF DESIGN & MERCHANDISING,CA,900151421,PROPRIETARY, 157 , 157 ," $607,085.00 ",556," $960,589.00 ", 167 , 167 ," $634,843.00 ",624," $991,018.00 ", 89 , 90 ," $1,585,676.00 ",380," $2,682,103.00 ", -   , -   , $-   ,0, $-   
01111700,ALLIANT INTERNATIONAL UNIVERSITY,CA,921311799,PRIVATE, 148 , 149 ," $629,043.00 ",274," $1,046,346.00 ", 184 , 204 ," $1,226,800.00 ",385," $1,960,484.00 ", -   , -   , $-   ,0, $-   , 269 , 293 ," $2,654,291.00 ",382," $2,799,262.00 "
01112100,EVEREST COLLEGE,CA,945414007,PROPRIETARY, 66 , 67 ," $218,849.00 ",228," $387,338.00 ", 59 , 88 ," $312,787.00 ",363," $611,884.00 ", 2 , 2 ," $17,048.00 ",10," $39,149.00 ", -   , -   , $-   ,0, $-   
01112300,EVEREST COLLEGE,CA,902474163,PROPRIETARY, 213 , 215 ," $698,058.00 ",881," $1,514,773.00 ", 205 , 355 ," $1,111,293.00 ","1,614"," $2,508,889.00 ", 6 , 6 ," $39,530.00 ",36," $124,443.00 ", -   , -   , $-   ,0, $-   
01162600,WESTWOOD COLLEGE - SOUTH BAY,CA,905021148,PROPRIETARY, 521 , 543 ," $1,722,353.00 ","2,263"," $3,235,826.00 ", 528 , 542 ," $2,545,915.00 ","2,299"," $4,427,931.00 ", 47 , 48 ," $377,002.00 ",188," $550,560.00 ", -   , -   , $-   ,0, $-   
01164900,LOYOLA MARYMOUNT UNIVERSITY,CA,900452659,PRIVATE, 80 , 86 ," $339,101.00 ",112," $350,251.00 ", 127 , 132 ," $545,980.00 ",173," $575,088.00 ", 25 , 25 ," $276,746.00 ",35," $300,535.00 ", 261 , 286 ," $2,413,683.00 ",303," $2,346,357.00 "
01167200,MENDOCINO COLLEGE,CA,954823000,PUBLIC, 23 , 23 ," $82,743.00 ",31," $83,618.00 ", 7 , 7 ," $23,300.00 ",10," $23,300.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
01169600,NATIONAL POLYTECHNIC COLLEGE OF SCIENCE,CA,907446399,PRIVATE, 17 , 18 ," $57,000.00 ",28," $54,250.00 ", 14 , 15 ," $55,333.00 ",23," $60,167.00 ", 2 , 2 ," $26,942.00 ",3," $16,721.00 ", -   , -   , $-   ,0, $-   
01179200,FRANCISCAN SCHOOL OF THEOLOGY,CA,947091294,PRIVATE, -   , -   , $-   ,0, $-   , -   , -   , $-   ,1," $2,470.00 ", -   , -   , $-   ,0, $-   , 2 , 2 ," $11,525.00 ",2," $11,525.00 "
01186500,CALIFORNIA HAIR DESIGN ACADEMY,CA,919415055,PROPRIETARY, 31 , 31 ," $100,796.00 ",75," $123,331.00 ", 28 , 28 ," $123,301.00 ",69," $153,733.00 ", 10 , 10 ," $98,760.00 ",21," $117,960.00 ", -   , -   , $-   ,0, $-   
01202600,BELLUS ACADEMY,CA,920216247,PROPRIETARY, 24 , 26 ," $80,407.00 ",55," $89,820.00 ", 20 , 21 ," $74,435.00 ",41," $88,576.00 ", 1 , 1 ," $4,000.00 ",5," $34,706.00 ", -   , -   , $-   ,0, $-   
01202700,GALEN COLLEGE OF CALIFORNIA,CA,937282381,PROPRIETARY, 26 , 26 ," $82,390.00 ",80," $143,640.00 ", 25 , 25 ," $112,065.00 ",80," $185,817.00 ", -   , -   , $-   ,3," $9,258.00 ", -   , -   , $-   ,0, $-   
01206100,EVEREST COLLEGE,CA,951283908,PROPRIETARY, 58 , 59 ," $166,180.00 ",267," $441,172.00 ", 53 , 94 ," $249,315.00 ",484," $701,316.00 ", 1 , 1 ," $10,781.00 ",16," $76,966.00 ", -   , -   , $-   ,0, $-   
01215400,CALIFORNIA INSTITUTE OF INTEGRAL STUDIES,CA,941032557,PRIVATE, 48 , 48 ," $194,678.00 ",105," $367,368.00 ", 84 , 88 ," $489,206.00 ",137," $693,229.00 ", -   , -   , $-   ,1," $5,000.00 ", 149 , 164 ," $1,404,850.00 ",176," $1,455,663.00 "
01245200,EVERGREEN VALLEY COLLEGE,CA,951351598,PUBLIC, 19 , 19 ," $51,552.00 ",22," $55,463.00 ", 7 , 7 ," $28,502.00 ",10," $31,803.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
01255000,LOS ANGELES MISSION COLLEGE,CA,913423200,PUBLIC, 48 , 48 ," $156,044.00 ",73," $182,143.00 ", 19 , 19 ," $71,905.00 ",38," $101,756.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
01287300,WYOTECH,CA,908103800,PROPRIETARY, 668 , 668 ," $1,976,573.00 ","2,371"," $3,766,690.00 ", 664 , 909 ," $2,817,775.00 ","3,304"," $5,486,060.00 ", 49 , 49 ," $364,953.00 ",192," $777,135.00 ", -   , -   , $-   ,0, $-   
01290700,LAKE TAHOE COMMUNITY COLLEGE,CA,961504524,PUBLIC, 13 , 13 ," $47,500.00 ",51," $88,442.00 ", 6 , 6 ," $22,000.00 ",21," $31,236.00 ", -   , -   , $-   ,1," $1,666.00 ", -   , -   , $-   ,0, $-   
01291200,MTI COLLEGE,CA,958413037,PROPRIETARY, 115 , 116 ," $323,653.00 ",401," $638,566.00 ", 99 , 155 ," $369,828.00 ",571," $768,656.00 ", 7 , 7 ," $30,521.00 ",18," $44,937.00 ", -   , -   , $-   ,0, $-   
01310300,CALIFORNIA WESTERN SCHOOL OF LAW,CA,921013090,PRIVATE, 232 , 232 ," $1,008,392.00 ",396," $1,681,574.00 ", 223 , 232 ," $1,298,533.00 ",392," $2,226,226.00 ", -   , -   , $-   ,0, $-   , 241 , 275 ," $2,495,713.00 ",455," $4,520,566.00 "
01324000,LYTLE'S REDWOOD EMPIRE BEAUTY COLLEGE,CA,954037757,PROPRIETARY, 11 , 11 ," $32,311.00 ",26," $42,810.00 ", 10 , 10 ," $27,061.00 ",27," $42,025.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
02063500,COASTLINE COMMUNITY COLLEGE,CA,927082597,PUBLIC, 101 , 102 ," $215,318.00 ",195," $264,604.00 ", 54 , 54 ," $164,945.00 ",97," $179,550.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
